
 fun P-01 | d 10000 |

 m 10000 | t 3873.7898883440066 | y 3128391.353176869 | x [8 3 7 ... 3 6 2]

 fun P-03 | d 1000000 |

 m 100 | t 42.76386986300349 | y -0.0 | x [8 7 9 ... 4 1 5]
 m 3800 | t 1499.3844667570665 | y 3138303.693262516 | x [0 1 9 ... 5 0 5]
 m 4000 | t 1576.881069411058 | y 3138291.4786489406 | x [0 3 2 ... 3 6 9]
 m 4200 | t 1653.5626086500706 | y 3134694.909186737 | x [ 3 10  5 ...  3  5  9]
 m 5800 | t 2282.5807507180143 | y 3134652.0770386066 | x [10  7  8 ...  4  8  4]
 m 6000 | t 2359.6934958940838 | y 3133630.1355243144 | x [5 1 2 ... 7 5 9]
 m 6100 | t 2399.2923293930944 | y 3133287.488316648 | x [ 1  2 10 ...  6  0  5]
 m 6200 | t 2437.9365582090104 | y 3133035.823917495 | x [0 8 3 ... 2 5 4]
 m 6800 | t 2672.042608692078 | y 3130680.11543122 | x [10  7  2 ...  3  0  3]
 m 7700 | t 3018.3526235690806 | y 3130515.1339750886 | x [3 8 4 ... 5 4 2]
 m 8700 | t 3402.7459412330063 | y 3130126.2298302823 | x [ 8  2 10 ...  7  6  0]
 m 9500 | t 3714.6436270270497 | y 3129404.156128568 | x [10  2 10 ...  8  1  0]
 m 9800 | t 3828.888626051019 | y 3128391.353176869 | x [8 3 7 ... 3 6 2]
 m 10000 | t 3888.8654780670768 | y 3128391.353176869 | x [8 3 7 ... 3 6 2]

 fun P-03 | d 1000000 |

